hour	key	trips_started	earnings	miles	passengers_picked_up	not_on_duty	time_with_passengers
2013-01-12 12	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 02	2013000001	3.0	85.1	8.74	5.0	0.0	0.43333333333333335
2013-01-13 00	2013000001	0.0	2.73125	0.4375	0.0	0.0	0.03333333333333333
2013-01-12 20	2013000001	3.0	52.28666666666667	5.657333333333334	5.0	0.5333333333333333	0.39999999999999997
2013-01-12 08	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 13	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 21	2013000001	4.0	150.65	5.203333333333333	6.0	0.0	0.4666666666666667
2013-01-12 04	2013000001	2.0	27.6	4.12	3.0	0.65	0.23333333333333334
2013-01-12 00	2013000001	3.0	52.900000000000006	6.77	4.0	0.0	0.41666666666666663
2013-01-12 01	2013000001	3.0	55.2	3.29	3.0	0.0	0.2833333333333333
2013-01-12 03	2013000001	1.0	32.2	10.29	1.0	0.4166666666666667	0.35
2013-01-12 15	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 18	2013000001	2.0	31.05	4.42	3.0	0.35	0.3333333333333333
2013-01-12 09	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 11	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 23	2013000001	2.0	44.64875000000001	11.352500000000001	3.0	0.0	0.7833333333333334
2013-01-12 06	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 19	2013000001	3.0	86.48	9.212666666666667	4.0	0.0	0.6833333333333333
2013-01-12 22	2013000001	3.0	62.25333333333333	5.466666666666667	5.0	0.0	0.44999999999999996
2013-01-12 14	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 05	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 10	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 07	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 17	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
2013-01-12 16	2013000001	0.0	0.0	0.0	0.0	1.0	0.0
